"Date","Pcp","Pet"
1981-01-01,143.023046691807,105.139995912664
1981-02-01,208.92910397676,89.3237017396644
1981-03-01,136.704156497822,97.7076578155512
1981-04-01,35.2693331741245,90.5749156326479
1981-05-01,3.98715607562823,90.2623187638853
1981-06-01,2.7084182081038,83.0016107322038
1981-07-01,0.970121177638124,88.0920810574437
1981-08-01,25.2514117081618,94.4517514418046
1981-09-01,30.0843792542123,103.542764840141
1981-10-01,87.5177902796463,112.771238710785
1981-11-01,107.827959217279,115.244045084655
1981-12-01,139.027899740136,107.630230528873
1982-01-01,127.303196606418,104.079461599207
1982-02-01,168.657866555282,89.3391650859042
1982-03-01,99.9885524468682,99.9529665244125
1982-04-01,63.3950237747984,93.0286642250457
1982-05-01,2.0204102781668,93.3250113067438
1982-06-01,3.04526827123997,84.4808084456396
1982-07-01,5.65129277582938,93.8047599848725
1982-08-01,16.1019465791085,101.607591973876
1982-09-01,37.9062034322383,108.006685716853
1982-10-01,101.92406491626,113.289470599394
1982-11-01,111.249632912268,110.687657299488
1982-12-01,80.3000404171249,114.537421434298
1983-01-01,118.652207210384,123.336151810711
1983-02-01,60.0133762394521,105.646074236453
1983-03-01,136.266967702203,108.078778496384
1983-04-01,63.46062385672,100.258062796035
1983-05-01,13.2870600512351,98.9600932054444
1983-06-01,9.68927983725545,87.220127091729
1983-07-01,1.27014031963562,95.1291167270756
1983-08-01,1.76135941286711,102.600281982405
1983-09-01,51.3834772833812,105.421677759884
1983-10-01,59.7652804381079,117.29296590399
1983-11-01,44.9636521900817,118.843244044233
1983-12-01,106.609839212604,106.61848970223
1984-01-01,133.020868681348,95.744112854454
1984-02-01,205.973203158775,86.8761589421354
1984-03-01,133.698626514607,95.0459027044119
1984-04-01,43.2629754640708,87.1643400817543
1984-05-01,28.5156286115767,92.4032510035956
1984-06-01,19.3262699294253,80.3857100146616
1984-07-01,2.25245769538257,86.8821538272534
1984-08-01,8.45250603081001,99.3706577090895
1984-09-01,18.2472285692629,108.030154397699
1984-10-01,89.3787978227278,113.57423250465
1984-11-01,114.550950842167,109.138769870689
1984-12-01,116.860576735442,110.223528671132
1985-01-01,78.9149277448885,102.718277325342
1985-02-01,128.924417745231,90.0092661064762
1985-03-01,130.387467786955,99.2791941134932
1985-04-01,76.3446871214927,90.2337260622413
1985-05-01,34.6808641303124,91.9440084767009
1985-06-01,14.2929953187038,82.7535239804769
1985-07-01,7.76760389069256,88.3521539819945
1985-08-01,4.04911387518961,102.441353027469
1985-09-01,65.1363834187357,106.70100487562
1985-10-01,26.1733923303076,119.771004350967
1985-11-01,55.4977704902211,113.429542003395
1985-12-01,121.964625248691,102.661993563072
1986-01-01,166.119340960611,102.874724258642
1986-02-01,156.489649152435,87.6358877953763
1986-03-01,162.976848393202,96.1914926984348
1986-04-01,83.472716576743,91.3439043923292
1986-05-01,25.4685568910545,92.8974892517373
1986-06-01,0.217058729984916,83.8299267444281
1986-07-01,11.9249854090682,87.4194495972638
1986-08-01,18.3998227768543,99.2507255831244
1986-09-01,33.3033352858008,108.532348503516
1986-10-01,31.0761335049134,118.945338047811
1986-11-01,52.6110041356557,119.187127970211
1986-12-01,115.614311110316,109.751260360134
1987-01-01,163.018075658872,104.065125133091
1987-02-01,117.318519425726,100.690519508103
1987-03-01,71.8713136099541,109.871419204959
1987-04-01,35.2139339368481,98.1907764890823
1987-05-01,18.6985992807407,94.5248173041194
1987-06-01,6.69756643704064,86.0093557437992
1987-07-01,12.703168113929,94.1044763758062
1987-08-01,10.4926457434562,105.947112485607
1987-09-01,27.315134573251,113.39139644659
1987-10-01,34.5711743355473,121.033372245941
1987-11-01,80.4755642961787,116.639988282959
1987-12-01,101.617099883264,115.238362177108
1988-01-01,151.63388918173,105.508406057778
1988-02-01,112.952786701876,98.1586128195267
1988-03-01,123.635626876647,99.1510050554874
1988-04-01,86.9774477815931,90.5169829224
1988-05-01,26.2826472188432,91.5957251894494
1988-06-01,0.642395838788426,84.9984343511359
1988-07-01,0.258118050592381,90.5972078085534
1988-08-01,2.64523304001943,105.892560510982
1988-09-01,28.0891540630378,108.478888706596
1988-10-01,60.4261765176291,119.239687480308
1988-11-01,50.9466450041385,115.055596789589
1988-12-01,124.577021951292,106.231318300158
1989-01-01,142.620021013355,101.781302769666
1989-02-01,139.099153585473,85.7302519759378
1989-03-01,179.13797475305,91.0728521825963
1989-04-01,56.5322055087628,89.2047977791919
1989-05-01,17.087274278149,89.5059417073298
1989-06-01,9.78992609942711,80.1145717205899
1989-07-01,5.10798135412714,88.2955223199691
1989-08-01,18.688006335088,99.0253604792288
1989-09-01,34.4805063588147,107.499294884321
1989-10-01,67.4768995993093,113.391511761914
1989-11-01,42.2733623515575,120.493157762838
1989-12-01,27.2168587405665,120.063968488484
1990-01-01,115.189415530358,106.741620715318
1990-02-01,53.9000178235855,102.38259426804
1990-03-01,76.537337081433,107.933936620427
1990-04-01,37.0233122944103,97.4728570046405
1990-05-01,26.1455415306431,91.7549168787086
1990-06-01,34.1759198994345,78.8240846533091
1990-07-01,5.81653860091145,88.0101153605283
1990-08-01,12.0380326736011,101.782201109003
1990-09-01,29.6224403748107,107.719895338516
1990-10-01,114.332492131198,110.949659136167
1990-11-01,111.017852646494,111.150715863065
1990-12-01,97.2267858675313,108.455746741512
1991-01-01,76.9989261801965,109.5057762269
1991-02-01,79.6088858285509,99.4266822461606
1991-03-01,120.552637530058,97.4769775527944
1991-04-01,50.7562368425326,95.0666375041744
1991-05-01,29.3207472200959,93.6941031970451
